Name,chr_hg19,CG_position_hg19,strand_hg19,C_position_hg19,chr_hg38,CG_position_hg38,strand_hg38,C_position_hg38,Illumina_Type,Illumina_Islands_Name,Illumina_Relation_to_Island,Illumina_UCSC_RefGene_Name,Illumina_UCSC_RefGene_Accession,Illumina_UCSC_RefGene_Group,Illumina_Regulatory_Feature_Group,GencodeBasicV12_NAME,GencodeBasicV12_Accession,GencodeBasicV12_Group,GencodeCompV12_NAME,GencodeCompV12_Accession,GencodeCompV12_Group,Array_450k,Array_EPIC.v1,Array_Methyl27_Loci,Array_EPIC.v2
cg22022881,chr2,105853494,-,105853495,chr2,105237037.0,-,105237038.0,II,chr2:105853493-105853797,Island,,,,Promoter_Associated,,,,,,,True,True,,1.0
cg25079915,chr2,120192027,-,120192028,chr2,119434451.0,-,119434452.0,II,chr2:120190030-120190308,S_Shore,TMEM37,NM_183240,Body,,TMEM37,ENST00000465296.1,5'UTR,TMEM37,ENST00000465296.1,5'UTR,True,True,,1.0
cg00280895,chr2,121100727,-,121100728,chr2,120343151.0,-,120343152.0,II,chr2:121101046-121101432,N_Shore,,,,,,,,,,,True,True,,1.0
cg25223285,chr2,128453260,-,128453261,chr2,127695686.0,-,127695687.0,II,chr2:128453174-128453446,Island,,,,Unclassified_Cell_type_specific,,,,,,,True,True,,1.0
cg05353292,chr2,137267702,-,137267703,chr2,136510132.0,-,136510133.0,II,,OpenSea,,,,,,,,,,,True,True,,1.0
cg08719380,chr2,152830505,-,152830506,chr2,151973991.0,-,151973992.0,II,,OpenSea,CACNB4;CACNB4;CACNB4;CACNB4,NM_000726;NM_001145798;NM_001005746;NM_001005747,Body;Body;Body;TSS200,,CACNB4;CACNB4,ENST00000534999.1;ENST00000360283.6,TSS200;TSS200,CACNB4;CACNB4;CACNB4,ENST00000470066.1;ENST00000534999.1;ENST00000360283.6,TSS1500;TSS200;TSS200,True,True,,1.0
cg25487775,chr2,162093969,-,162093970,chr2,161237458.0,-,161237459.0,I,chr2:162094460-162096195,N_Shore,,,,,AC009299.2;AC009299.2,ENST00000421122.1;ENST00000445372.1,3'UTR;3'UTR,AC009299.2;AC009299.2,ENST00000421122.1;ENST00000445372.1,3'UTR;3'UTR,True,True,,1.0
cg15742848,chr2,169769501,-,169769502,chr2,168912991.0,-,168912992.0,I,,OpenSea,,,,,SPC25,ENST00000472216.2,3'UTR,SPC25;SPC25,ENST00000451987.1;ENST00000472216.2,5'UTR;3'UTR,True,True,,1.0
cg15161959,chr2,177020616,-,177020617,chr2,176155888.0,-,176155889.0,II,chr2:177024501-177025692,N_Shelf,,,,,HOXD4;HOXD3,ENST00000465649.2;ENST00000468418.2,5'UTR;5'UTR,HOXD4;HOXD3;HOXD3,ENST00000465649.2;ENST00000432796.2;ENST00000468418.2,5'UTR;5'UTR;5'UTR,True,True,,1.0
cg26853787,chr2,202904337,-,202904338,chr2,202039614.0,-,202039615.0,II,chr2:202897386-202901046,S_Shelf,,,,,,,,,,,True,True,,1.0
cg24715680,chr2,215675429,-,215675430,chr2,214810705.0,-,214810706.0,II,chr2:215673995-215675052,S_Shore,BARD1,NM_000465,TSS1500,,BARD1;BARD1;BARD1,ENST00000471787.1;ENST00000449967.2;ENST00000260947.4,TSS1500;TSS1500;TSS1500,BARD1;BARD1;BARD1;BARD1;BARD1,ENST00000479904.1;ENST00000471787.1;ENST00000455743.1;ENST00000421162.1;ENST00000260947.4,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500,True,True,,1.0
cg18887096,chr2,219472410,-,219472411,chr2,218607687.0,-,218607688.0,II,,OpenSea,PLCD4,NM_032726,TSS1500,,PLCD4;PLCD4;PLCD4,ENST00000457426.2;ENST00000417849.1;ENST00000450993.2,TSS1500;TSS1500;TSS200,PLCD4;PLCD4;PLCD4;PLCD4;PLCD4,ENST00000444453.1;ENST00000473443.1;ENST00000465713.1;ENST00000450993.2;ENST00000483685.1,TSS1500;TSS1500;TSS1500;TSS200;TSS200,True,True,,1.0
cg03817727,chr2,219861653,-,219861654,chr2,218996931.0,-,218996932.0,II,chr2:219860927-219861242,S_Shore,,,,Unclassified_Cell_type_specific,,,,,,,True,True,,1.0
cg24330386,chr2,220409543,-,220409544,chr2,219544821.0,-,219544822.0,II,chr2:220407698-220409048,S_Shore,CHPF;TMEM198,NM_024536;NM_001005209,TSS1500;Body,,CHPF;CHPF,ENST00000373891.2;ENST00000243776.6,TSS1500;TSS1500,CHPF;CHPF,ENST00000373891.2;ENST00000243776.6,TSS1500;TSS1500,True,True,,1.0
cg05868531,chr2,232348602,-,232348603,chr2,231483891.0,-,231483892.0,I,chr2:232348216-232348866,Island,,,,Unclassified,,,,NCL,ENST00000461347.1,TSS1500,True,True,,0.0
cg11559198,chr2,232348794,-,232348795,chr2,231484083.0,-,231484084.0,II,chr2:232348216-232348866,Island,,,,Unclassified,,,,NCL,ENST00000461347.1,TSS1500,True,True,,1.0
cg21054919,chr2,233216361,-,233216362,chr2,232351651.0,-,232351652.0,II,chr2:233215680-233217556,Island,,,,Unclassified_Cell_type_specific,,,,,,,True,True,,1.0
cg10883069,chr2,241771040,-,241771041,chr2,240831623.0,-,240831624.0,II,chr2:241771655-241772194,N_Shore,,,,Unclassified,,,,,,,True,True,,1.0
cg02555923,chr3,14319984,+,14319984,chr3,14278484.0,+,14278484.0,II,,OpenSea,,,,,RP11-536I6.2,ENST00000525575.1,3'UTR,RP11-536I6.2,ENST00000525575.1,3'UTR,True,True,,1.0
cg06234584,chr3,28389645,+,28389645,chr3,28348154.0,+,28348154.0,II,chr3:28389975-28390855,N_Shore,AZI2;AZI2;AZI2,NM_022461;NM_001134432;NM_001134433,5'UTR;5'UTR;5'UTR,Promoter_Associated,AZI2;AZI2;AZI2;AZI2;ZCWPW2;AZI2,ENST00000334100.6;ENST00000457172.1;ENST00000420543.2;ENST00000479665.1;ENST00000383768.2;ENST00000295748.3,5'UTR;5'UTR;5'UTR;5'UTR;TSS1500;3'UTR,AZI2;AZI2;AZI2;AZI2;AZI2;AZI2;ZCWPW2;ZCWPW2;AZI2;AZI2,ENST00000415852.1;ENST00000334100.6;ENST00000457172.1;ENST00000414162.1;ENST00000420543.2;ENST00000479665.1;ENST00000420223.1;ENST00000383768.2;ENST00000295748.3;ENST00000463512.1,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;TSS1500;TSS1500;3'UTR;3'UTR,True,True,,1.0
cg27364650,chr3,43899898,+,43899898,chr3,43858406.0,+,43858406.0,II,,OpenSea,,,,,,,,,,,True,True,,1.0
cg17658717,chr3,45077254,+,45077254,chr3,45035762.0,+,45035762.0,I,chr3:45077069-45077690,Island,CLEC3B,NM_003278,Body,,RNU5B-3P;CLEC3B,ENST00000516601.1;ENST00000490386.1,TSS1500;5'UTR,RNU5B-3P;EXOSC7;CLEC3B,ENST00000516601.1;ENST00000481405.1;ENST00000490386.1,TSS1500;5'UTR;5'UTR,True,True,,1.0
cg03855994,chr3,50230988,+,50230988,chr3,50193555.0,+,50193555.0,II,chr3:50230430-50232344,Island,GNAT1;GNAT1,NM_000172;NM_144499,Body;Body,,GNAT1,ENST00000481246.1,TSS200,GNAT1,ENST00000481246.1,TSS200,True,True,,1.0
cg20540428,chr3,73045686,+,73045686,chr3,72996535.0,+,72996535.0,II,chr3:73045834-73046517,N_Shore,PPP4R2,NM_174907,TSS1500,Promoter_Associated_Cell_type_specific,PPP4R2;PPP4R2;PPP4R2,ENST00000356692.5;ENST00000295862.9;ENST00000495566.1,TSS1500;TSS1500;TSS1500,PPP4R2;PPP4R2;PPP4R2;PPP4R2;PPP4R2;PPP4R2;PPP4R2,ENST00000356692.5;ENST00000482242.1;ENST00000470976.1;ENST00000488810.1;ENST00000295862.9;ENST00000495566.1;ENST00000476505.2,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500,True,True,True,1.0
cg20232291,chr3,102392777,+,102392777,chr3,102673933.0,+,102673933.0,II,,OpenSea,,,,Unclassified,RP11-280H21.1,ENST00000487772.1,TSS200,RP11-280H21.1,ENST00000487772.1,TSS200,True,True,,1.0
cg11874323,chr3,111804830,+,111804830,chr3,112085983.0,+,112085983.0,II,chr3:111804865-111805570,N_Shore,C3orf52,NM_024616,TSS1500,Promoter_Associated,C3orf52;C3orf52,ENST00000431717.2;ENST00000264848.5,TSS1500;TSS1500,C3orf52;C3orf52;C3orf52;C3orf52,ENST00000431717.2;ENST00000264848.5;ENST00000484828.1;ENST00000497610.1,TSS1500;TSS1500;TSS1500;TSS1500,True,True,,1.0
cg04865442,chr3,120168805,+,120168805,chr3,120449958.0,+,120449958.0,II,chr3:120169202-120170519,N_Shore,FSTL1,NM_007085,Body,,FSTL1;FSTL1,ENST00000539471.1;ENST00000485968.1,5'UTR;3'UTR,FSTL1;FSTL1;FSTL1;FSTL1;FSTL1,ENST00000464690.1;ENST00000539471.1;ENST00000472536.1;ENST00000485968.1;ENST00000467994.1,3'UTR;5'UTR;3'UTR;3'UTR;3'UTR,True,True,,0.0
cg20988073,chr3,125900093,+,125900093,chr3,126181250.0,+,126181250.0,II,chr3:125898662-125899568,S_Shore,ALDH1L1,NM_012190,TSS1500,,ALDH1L1;ALDH1L1;ALDH1L1;ALDH1L1;ALDH1L1;ALDH1L1-AS2,ENST00000472186.1;ENST00000393431.2;ENST00000452905.2;ENST00000393434.2;ENST00000273450.3;ENST00000500232.2,TSS1500;TSS1500;TSS1500;TSS1500;TSS200;5'UTR,ALDH1L1;ALDH1L1;ALDH1L1;ALDH1L1;ALDH1L1;ALDH1L1;ALDH1L1;ALDH1L1;ALDH1L1;ALDH1L1;ALDH1L1-AS2;ALDH1L1-AS2,ENST00000472186.1;ENST00000473607.1;ENST00000393431.2;ENST00000452905.2;ENST00000393434.2;ENST00000273450.3;ENST00000488356.1;ENST00000490367.1;ENST00000511283.1;ENST00000509952.1;ENST00000500232.2;ENST00000502278.1,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS200;TSS1500;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR,True,True,,1.0
cg18026197,chr3,126422536,+,126422536,chr3,126703693.0,+,126703693.0,I,chr3:126422888-126423609,N_Shore,CHCHD6,NM_032343,TSS1500,Promoter_Associated,CHCHD6;CHCHD6,ENST00000290913.3;ENST00000508789.1,TSS1500;TSS1500,CHCHD6;CHCHD6;CHCHD6;CHCHD6,ENST00000290913.3;ENST00000503119.1;ENST00000508789.1;ENST00000514908.1,TSS1500;TSS1500;TSS1500;TSS1500,True,True,,1.0
cg15709065,chr3,134090737,+,134090737,chr3,134371895.0,+,134371895.0,II,chr3:134092257-134093741,N_Shore,AMOTL2,NM_016201,5'UTR,Unclassified,AMOTL2;AMOTL2;AMOTL2;AMOTL2,ENST00000513145.1;ENST00000422605.2;ENST00000249883.5;ENST00000511759.1,5'UTR;5'UTR;5'UTR;3'UTR,AMOTL2;AMOTL2;AMOTL2;AMOTL2;AMOTL2;AMOTL2;AMOTL2;AMOTL2;AMOTL2;AMOTL2;AMOTL2;AMOTL2,ENST00000505596.1;ENST00000510560.1;ENST00000504234.1;ENST00000515172.1;ENST00000502491.1;ENST00000513145.1;ENST00000422605.2;ENST00000249883.5;ENST00000506107.1;ENST00000505596.1;ENST00000512955.1;ENST00000511759.1,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;1stExon;3'UTR;3'UTR,True,True,,1.0
cg09373148,chr3,138152837,+,138152837,chr3,138433995.0,+,138433995.0,I,chr3:138153269-138154621,N_Shore,ESYT3,NM_031913,TSS1500,,ESYT3;ESYT3,ENST00000389567.4;ENST00000289135.4,TSS1500;TSS1500,ESYT3;ESYT3;ESYT3;ESYT3,ENST00000486831.1;ENST00000389567.4;ENST00000490835.1;ENST00000289135.4,TSS1500;TSS1500;TSS1500;TSS1500,True,True,,1.0
cg18005180,chr3,138661840,+,138661840,chr3,138942998.0,+,138942998.0,II,chr3:138663718-138666346,N_Shore,,,,,RP11-548O1.3,ENST00000495287.1,3'UTR,RP11-548O1.3;RP11-548O1.3;RP11-548O1.3,ENST00000477059.1;ENST00000495287.1;ENST00000483650.1,TSS1500;3'UTR;3'UTR,True,True,,1.0
cg00472710,chr3,151178727,+,151178727,chr3,151460939.0,+,151460939.0,II,chr3:151178623-151178984,Island,,,,,,,,,,,True,True,,1.0
cg00010946,chr3,157819282,+,157819282,chr3,158101493.0,+,158101493.0,II,chr3:157821232-157821604,N_Shore,SHOX2;SHOX2;SHOX2,NM_001163678;NM_006884;NM_003030,Body;Body;Body,Unclassified_Cell_type_specific,,,,,,,True,True,,1.0
cg15180789,chr3,159557797,+,159557797,chr3,159840008.0,+,159840008.0,II,,OpenSea,SCHIP1,NM_014575,Body,,SCHIP1;SCHIP1;SCHIP1,ENST00000483730.1;ENST00000445224.2;ENST00000445224.2,TSS200;5'UTR;1stExon,SCHIP1;SCHIP1;SCHIP1;SCHIP1;SCHIP1;SCHIP1;SCHIP1;SCHIP1,ENST00000483730.1;ENST00000445224.2;ENST00000445224.2;ENST00000472483.1;ENST00000461058.1;ENST00000495954.1;ENST00000495954.1;ENST00000461058.1,TSS200;5'UTR;1stExon;TSS200;1stExon;5'UTR;1stExon;5'UTR,True,True,,1.0
cg21030598,chr3,196466425,+,196466425,chr3,196739554.0,+,196739554.0,II,chr3:196466585-196467353,N_Shore,PAK2,NM_002577,TSS1500,,PAK2,ENST00000327134.3,TSS1500,PAK2,ENST00000327134.3,TSS1500,True,True,True,1.0
cg17036624,chr3,8811601,-,8811602,chr3,8769915.0,-,8769916.0,II,chr3:8808961-8811280,S_Shore,OXTR,NM_000916,TSS1500,Unclassified,OXTR;CAV3,ENST00000316793.3;ENST00000472766.1,TSS1500;5'UTR,OXTR;OXTR;OXTR;OXTR;CAV3,ENST00000449615.1;ENST00000474615.1;ENST00000316793.3;ENST00000431493.1;ENST00000472766.1,TSS1500;TSS1500;TSS1500;TSS1500;5'UTR,True,True,,1.0
cg04207166,chr3,10546830,-,10546831,chr3,10505146.0,-,10505147.0,II,chr3:10547178-10547389,N_Shore,ATP2B2;ATP2B2,NM_001001331;NM_001683,5'UTR;5'UTR,Unclassified_Cell_type_specific,ATP2B2;ATP2B2;ATP2B2;ATP2B2;ATP2B2,ENST00000535386.1;ENST00000360273.2;ENST00000383800.4;ENST00000397077.1;ENST00000429937.2,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR,ATP2B2;ATP2B2;ATP2B2;ATP2B2;ATP2B2;ATP2B2;ATP2B2,ENST00000535386.1;ENST00000360273.2;ENST00000383800.4;ENST00000460129.1;ENST00000397077.1;ENST00000429937.2;ENST00000480680.2,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;3'UTR,True,True,,1.0
cg17546649,chr3,44802566,-,44802567,chr3,44761074.0,-,44761075.0,II,chr3:44802852-44803618,N_Shore,KIF15;KIAA1143,NM_020242;NM_020696,TSS1500;Body,,KIF15;KIAA1143,ENST00000326047.4;ENST00000484437.1,TSS1500;3'UTR,KIF15;KIF15;KIF15;KIAA1143,ENST00000326047.4;ENST00000438321.1;ENST00000481166.2;ENST00000484437.1,TSS1500;TSS1500;TSS1500;3'UTR,True,True,,1.0
cg16930811,chr3,49907666,-,49907667,chr3,49870233.0,-,49870234.0,II,chr3:49906737-49907482,S_Shore,CAMKV,NM_024046,TSS1500,Unclassified_Cell_type_specific,CAMKV;CAMKV;CAMKV;CAMKV;CAMKV,ENST00000296471.7;ENST00000488336.1;ENST00000466940.1;ENST00000463537.1;ENST00000477224.1,TSS1500;TSS1500;TSS1500;TSS1500;TSS200,CAMKV;CAMKV;CAMKV;CAMKV;CAMKV;CAMKV;CAMKV,ENST00000475665.1;ENST00000296471.7;ENST00000488336.1;ENST00000466940.1;ENST00000463537.1;ENST00000480398.2;ENST00000477224.1,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS200,True,True,,1.0
cg08072716,chr3,51989692,-,51989693,chr3,51955676.0,-,51955677.0,II,chr3:51989763-51990639,N_Shore,GPR62,NM_080865,1stExon,,GPR62,ENST00000322241.4,1stExon,GPR62,ENST00000322241.4,1stExon,True,True,True,1.0
cg22158068,chr3,64075186,-,64075187,chr3,64089510.0,-,64089511.0,II,,OpenSea,,,,,RP11-129B22.1,ENST00000482609.1,5'UTR,RP11-129B22.1,ENST00000482609.1,5'UTR,True,True,,1.0
cg17057719,chr3,72704701,-,72704702,chr3,72655550.0,-,72655551.0,II,chr3:72704323-72704610,S_Shore,,,,,,,,,,,True,True,,1.0
cg24576535,chr3,113417997,-,113417998,chr3,113699150.0,-,113699151.0,I,chr3:113414907-113415736,S_Shelf,,,,,,,,,,,True,True,,1.0
cg14218447,chr3,113418004,-,113418005,chr3,113699157.0,-,113699158.0,I,chr3:113414907-113415736,S_Shelf,,,,,,,,,,,True,True,,0.0
cg13511885,chr3,128594740,-,128594741,chr3,128875897.0,-,128875898.0,II,chr3:128598176-128598703,N_Shelf,,,,Unclassified,,,,,,,True,True,,1.0
cg06726820,chr3,139259742,-,139259743,chr3,139540900.0,-,139540901.0,II,chr3:139257712-139257949,S_Shore,RBP1;RBP1;RBP1,NM_001130992;NM_001130993;NM_002899,TSS1500;TSS1500;TSS1500,,RBP1;RBP1,ENST00000483943.2;ENST00000232219.2,TSS1500;TSS1500,RBP1;RBP1;RBP1;RP11-319G6.1;RP11-319G6.1,ENST00000487424.2;ENST00000483943.2;ENST00000232219.2;ENST00000381790.3;ENST00000515247.1,TSS1500;TSS1500;TSS1500;5'UTR;5'UTR,True,True,,1.0
cg01324343,chr3,183735012,-,183735013,chr3,184017224.0,-,184017225.0,I,chr3:183735183-183736103,N_Shore,ABCC5;ABCC5,NM_001023587;NM_005688,5'UTR;5'UTR,Promoter_Associated,ABCC5;ABCC5;ABCC5;ABCC5;ABCC5,ENST00000427120.2;ENST00000382494.2;ENST00000446941.2;ENST00000334444.6;ENST00000382495.2,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR,ABCC5;ABCC5;ABCC5;ABCC5;ABCC5;ABCC5;ABCC5;ABCC5,ENST00000437341.1;ENST00000437205.1;ENST00000427120.2;ENST00000443376.1;ENST00000438979.2;ENST00000446941.2;ENST00000334444.6;ENST00000382495.2,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR,True,True,,0.0
cg24960291,chr3,185538892,-,185538893,chr3,185821104.0,-,185821105.0,II,chr3:185541048-185544146,N_Shelf,IGF2BP2;IGF2BP2,NM_001007225;NM_006548,Body;Body,,IGF2BP2,ENST00000421047.2,TSS200,IGF2BP2;IGF2BP2;IGF2BP2;IGF2BP2;IGF2BP2;IGF2BP2,ENST00000493302.1;ENST00000421047.2;ENST00000466214.1;ENST00000461957.1;ENST00000493302.1;ENST00000466476.1,1stExon;TSS200;TSS200;3'UTR;3'UTR;3'UTR,True,True,,1.0
cg14463292,chr3,192289252,-,192289253,chr3,192571463.0,-,192571464.0,I,,OpenSea,FGF12,NM_004113,Body,,,,,FGF12,ENST00000448795.1,5'UTR,True,True,,1.0
cg24793722,chr4,824416,+,824416,chr4,830628.0,+,830628.0,II,chr4:828148-828360,N_Shelf,,,,Unclassified,,,,,,,True,True,,1.0
cg08222618,chr4,941054,+,941054,chr4,947266.0,+,947266.0,I,chr4:940613-941057,Island,TMEM175,NM_032326,5'UTR,,TMEM175;TMEM175;TMEM175;TMEM175;TMEM175,ENST00000504180.1;ENST00000264771.4;ENST00000359768.3;ENST00000515740.1;ENST00000508204.1,TSS1500;5'UTR;5'UTR;5'UTR;5'UTR,TMEM175;TMEM175;TMEM175;TMEM175;TMEM175;TMEM175;TMEM175;TMEM175;TMEM175;TMEM175;TMEM175;TMEM175;TMEM175;TMEM175;TMEM175;TMEM175;TMEM175;TMEM175;TMEM175,ENST00000504180.1;ENST00000507319.1;ENST00000513952.1;ENST00000514453.1;ENST00000505734.1;ENST00000515492.1;ENST00000504744.1;ENST00000359768.3;ENST00000509508.1;ENST00000452360.2;ENST00000515876.1;ENST00000513682.1;ENST00000515740.1;ENST00000438836.2;ENST00000504505.1;ENST00000508204.1;ENST00000510493.1;ENST00000514546.1;ENST00000504850.1,TSS1500;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR,True,True,,0.0
cg23855319,chr4,2062392,+,2062392,chr4,2060665.0,+,2060665.0,II,chr4:2059928-2063181,Island,NAT8L,NM_178557,Body,,NAT8L,ENST00000331662.3,5'UTR,NAT8L,ENST00000331662.3,5'UTR,True,True,,0.0
cg02754929,chr4,3295736,+,3295736,chr4,3294009.0,+,3294009.0,II,chr4:3293714-3294595,S_Shore,,,,,,,,RGS12;RGS12,ENST00000511275.1;ENST00000506631.1,5'UTR;5'UTR,True,True,,1.0
cg09573795,chr4,4863874,+,4863874,chr4,4862147.0,+,4862147.0,II,chr4:4864456-4864834,N_Shore,MSX1,NM_002448,Body,,MSX1,ENST00000468421.1,TSS1500,MSX1,ENST00000468421.1,TSS1500,True,True,True,1.0
cg12948920,chr4,8609706,+,8609706,chr4,8607979.0,+,8607979.0,II,,OpenSea,CPZ;CPZ;CPZ,NM_001014447;NM_003652;NM_001014448,Body;Body;Body,Unclassified,CPZ,ENST00000429646.2,5'UTR,CPZ;GPR78;CPZ;GPR78,ENST00000429646.2;ENST00000514302.1;ENST00000515606.1;ENST00000513120.1,5'UTR;3'UTR;3'UTR;5'UTR,True,True,,0.0
cg11266682,chr4,10021025,+,10021025,chr4,10019401.0,+,10019401.0,II,chr4:10020481-10021026,Island,SLC2A9;SLC2A9,NM_020041;NM_001001290,Body;Body,Promoter_Associated,,,,SLC2A9;SLC2A9;SLC2A9,ENST00000505506.1;ENST00000506839.1;ENST00000505104.1,TSS1500;TSS200;3'UTR,True,True,,1.0
cg15175162,chr4,15657657,+,15657657,chr4,15656034.0,+,15656034.0,II,chr4:15656364-15657739,Island,FBXL5;FBXL5,NM_033535;NM_012161,TSS1500;TSS1500,,FBXL5;FBXL5;FBXL5,ENST00000382358.4;ENST00000412094.2;ENST00000341285.3,TSS1500;TSS1500;TSS1500,FBXL5;FBXL5;FBXL5;FBXL5;FBXL5;FBXL5;FBXL5;FBXL5,ENST00000504837.1;ENST00000511441.1;ENST00000412094.2;ENST00000341285.3;ENST00000509314.1;ENST00000503196.1;ENST00000510802.1;ENST00000515679.1,TSS1500;TSS1500;TSS1500;TSS1500;5'UTR;5'UTR;5'UTR;5'UTR,True,True,,1.0
cg03238216,chr4,24330712,+,24330712,chr4,24329089.0,+,24329089.0,II,,OpenSea,,,,,,,,,,,True,True,,1.0
cg03313172,chr4,47033197,+,47033197,chr4,47031180.0,+,47031180.0,I,chr4:47034427-47034940,N_Shore,GABRB1,NM_000812,TSS200,,GABRB1;GABRB1;GABRB1,ENST00000509366.1;ENST00000538619.1;ENST00000295454.3,TSS1500;TSS1500;TSS200,GABRB1;GABRB1;GABRB1;GABRB1;GABRB1,ENST00000509366.1;ENST00000381582.3;ENST00000510909.1;ENST00000295454.3;ENST00000513567.1,TSS1500;TSS1500;TSS1500;TSS200;5'UTR,True,True,,1.0
cg00236919,chr4,48018263,+,48018263,chr4,48016246.0,+,48016246.0,II,chr4:48018490-48019381,N_Shore,NIPAL1,NM_207330,TSS1500,Promoter_Associated,NIPAL1;NIPAL1;CNGA1,ENST00000508180.1;ENST00000295461.5;ENST00000514170.1,TSS1500;TSS1500;5'UTR,NIPAL1;NIPAL1;NIPAL1;NIPAL1;CNGA1;CNGA1,ENST00000508180.1;ENST00000295461.5;ENST00000511852.1;ENST00000513724.1;ENST00000514170.1;ENST00000513178.1,TSS1500;TSS1500;TSS1500;5'UTR;5'UTR;5'UTR,True,True,,1.0
cg03463411,chr4,81118188,+,81118188,chr4,80197034.0,+,80197034.0,II,chr4:81118137-81118603,Island,PRDM8;PRDM8,NM_001099403;NM_020226,TSS1500;5'UTR,,PRDM8;PRDM8;PRDM8;PRDM8,ENST00000511825.1;ENST00000504452.1;ENST00000339711.4;ENST00000415738.2,5'UTR;5'UTR;5'UTR;TSS1500,PRDM8;PRDM8;PRDM8;PRDM8;PRDM8,ENST00000509375.1;ENST00000511825.1;ENST00000504452.1;ENST00000515013.1;ENST00000415738.2,5'UTR;5'UTR;5'UTR;5'UTR;TSS1500,True,True,,1.0
cg11388320,chr4,81119299,+,81119299,chr4,80198145.0,+,80198145.0,I,chr4:81119095-81119391,Island,PRDM8;PRDM8,NM_020226;NM_001099403,5'UTR;5'UTR,,PRDM8;PRDM8;PRDM8,ENST00000415738.2;ENST00000504452.1;ENST00000339711.4,5'UTR;5'UTR;5'UTR,PRDM8;PRDM8;PRDM8,ENST00000415738.2;ENST00000504452.1;ENST00000515013.1,5'UTR;5'UTR;5'UTR,True,True,,0.0
cg01883540,chr4,120646965,+,120646965,chr4,119725810.0,+,119725810.0,II,,OpenSea,,,,,,,,,,,True,True,,1.0
cg11991617,chr4,153512727,+,153512727,chr4,152591575.0,+,152591575.0,II,,OpenSea,,,,Unclassified_Cell_type_specific,,,,,,,True,True,,1.0
cg08125755,chr4,174422908,+,174422908,chr4,173501757.0,+,173501757.0,II,chr4:174421347-174421559,S_Shore,,,,,,,,,,,True,True,,1.0
cg17069313,chr4,185018478,+,185018478,chr4,184097325.0,+,184097325.0,I,chr4:185018390-185018721,Island,ENPP6,NM_153343,Body,Unclassified,,,,,,,True,True,,1.0
cg14016257,chr4,185926087,+,185926087,chr4,185004933.0,+,185004933.0,II,chr4:185926380-185926651,N_Shore,,,,Unclassified,RP11-386B13.4,ENST00000505053.1,5'UTR,RP11-386B13.4,ENST00000505053.1,5'UTR,True,True,,1.0
cg12494515,chr4,185935484,+,185935484,chr4,185014330.0,+,185014330.0,II,chr4:185937242-185937750,N_Shore,,,,,,,,,,,True,True,,1.0
cg25932599,chr4,1005201,-,1005202,chr4,1011413.0,-,1011414.0,I,chr4:1003106-1005455,Island,FGFRL1;FGFRL1;FGFRL1,NM_001004358;NM_021923;NM_001004356,TSS1500;TSS1500;TSS1500,Promoter_Associated,FGFRL1;FGFRL1;FGFRL1;FGFRL1;FGFRL1,ENST00000398484.2;ENST00000510644.1;ENST00000504138.1;ENST00000264748.6;ENST00000542622.1,5'UTR;TSS1500;TSS1500;TSS1500;TSS200,FGFRL1;FGFRL1;FGFRL1;FGFRL1;FGFRL1;FGFRL1;FGFRL1,ENST00000398484.2;ENST00000510644.1;ENST00000504138.1;ENST00000512174.1;ENST00000507339.1;ENST00000264748.6;ENST00000542622.1,5'UTR;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS200,True,True,,0.0
cg10432947,chr4,2062441,-,2062442,chr4,2060714.0,-,2060715.0,II,chr4:2059928-2063181,Island,NAT8L,NM_178557,Body,,NAT8L,ENST00000331662.3,5'UTR,NAT8L,ENST00000331662.3,5'UTR,True,True,,1.0
cg08644045,chr4,3495341,-,3495342,chr4,3493614.0,-,3493615.0,II,,OpenSea,DOK7;DOK7,NM_001164673;NM_173660,3'UTR;3'UTR,Unclassified_Cell_type_specific,DOK7;DOK7;DOK7,ENST00000507039.1;ENST00000512714.1;ENST00000340083.5,3'UTR;5'UTR;3'UTR,DOK7;DOK7;DOK7;DOK7,ENST00000507039.1;ENST00000512714.1;ENST00000340083.5;ENST00000515886.1,3'UTR;5'UTR;3'UTR;5'UTR,True,True,,1.0
cg23139982,chr4,4763259,-,4763260,chr4,4761532.0,-,4761533.0,II,,OpenSea,,,,Unclassified_Cell_type_specific,,,,,,,True,True,,1.0
